# spectrum_id category
1318 Grozd_131
1319 Grozd_101
1320 Grozd_105
1321 Grozd_26
1322 Grozd_172
1323 Grozd_40
1324 Grozd_43
1325 Grozd_35
1326 Grozd_161
1327 Grozd_7
1328 Grozd_141
1329 Grozd_52
1330 Grozd_56
1331 Grozd_83
1332 Šum
1333 Grozd_104
1334 Grozd_60
1335 Grozd_37
1336 Šum
1337 Grozd_112
1338 Šum
1339 Grozd_152
1340 Grozd_4
1341 Grozd_29
1342 Šum
1343 Grozd_39
1344 Grozd_61
1345 Grozd_18
1346 Šum
1347 Grozd_25
1348 Grozd_61
1349 Grozd_91
1350 Grozd_91
1351 Šum
1352 Grozd_18
1353 Grozd_141
1354 Grozd_75
1355 Šum
1356 Grozd_80
1357 Grozd_163
1358 Grozd_12
1359 Grozd_66
1360 Grozd_91
1361 Grozd_55
1362 Šum
1363 Grozd_91
1364 Šum
1365 Grozd_11
1366 Grozd_11
1367 Grozd_107
1368 Grozd_66
1369 Grozd_3
1370 Grozd_116
1371 Grozd_116
1372 Grozd_66
1373 Grozd_18
1374 Grozd_29
1375 Grozd_98
1376 Grozd_74
1377 Grozd_94
1378 Grozd_34
1379 Grozd_105
1380 Grozd_107
1381 Grozd_138
1382 Grozd_35
1383 Grozd_7
1384 Grozd_99
1385 Grozd_65
1386 Grozd_55
1387 Grozd_161
1388 Grozd_99
1389 Grozd_151
1390 Grozd_165
1391 Grozd_151
1392 Grozd_89
1393 Grozd_20
1394 Grozd_35
1395 Grozd_80
1396 Grozd_138
1397 Grozd_34
1398 Grozd_134
1399 Grozd_60
1400 Grozd_114
1401 Grozd_37
1402 Grozd_75
1403 Grozd_22
1404 Grozd_67
1405 Grozd_48
1406 Grozd_39
1407 Grozd_82
1408 Grozd_98
1409 Grozd_60
1410 Grozd_25
1411 Grozd_115
1412 Grozd_125
1413 Grozd_151
1414 Grozd_12
1415 Grozd_35
1416 Grozd_88
1417 Grozd_26
1418 Grozd_171
1419 Grozd_126
1420 Šum
1421 Grozd_119
1422 Grozd_5
1423 Grozd_48
1424 Grozd_133
1425 Šum
1426 Grozd_146
1427 Grozd_47
1428 Grozd_47
1429 Grozd_51
1430 Grozd_37
1431 Grozd_98
1432 Grozd_4
1433 Grozd_32
1434 Grozd_106
1435 Grozd_0
1436 Grozd_130
1437 Grozd_80
1438 Grozd_176
1439 Grozd_34
1440 Grozd_77
1441 Grozd_40
1442 Grozd_34
1443 Grozd_56
1444 Grozd_56
1445 Grozd_7
1446 Grozd_130
1447 Grozd_47
1448 Grozd_172
1449 Grozd_2
1450 Grozd_11
1451 Grozd_5
1452 Grozd_106
1453 Grozd_164
1454 Grozd_35
1455 Šum
1456 Grozd_141
1457 Grozd_41
1458 Grozd_47
1459 Grozd_191
1460 Grozd_141
1461 Grozd_56
1462 Grozd_56
1463 Grozd_8
1464 Šum
1465 Grozd_73
1466 Šum
1467 Grozd_155
1468 Grozd_37
1469 Grozd_148
1470 Šum
1471 Grozd_173
1472 Grozd_134
1473 Grozd_114
1474 Šum
1475 Grozd_74
1476 Grozd_88
1477 Šum
1478 Šum
1479 Grozd_198
1480 Šum
1481 Grozd_34
1482 Grozd_48
1483 Grozd_54
1484 Šum
1485 Grozd_89
1486 Grozd_34
1487 Šum
1488 Grozd_70
1489 Grozd_12
1490 Šum
1491 Šum
1492 Grozd_69
1493 Grozd_86
1494 Grozd_77
1495 Grozd_172
1496 Grozd_202
1497 Šum
1498 Grozd_77
1499 Grozd_27
1500 Grozd_49
1501 Grozd_7
1502 Grozd_40
1503 Grozd_35
1504 Grozd_0
1505 Šum
1506 Grozd_66
1507 Grozd_18
1508 Grozd_14
1509 Grozd_174
1510 Šum
1511 Grozd_50
1512 Grozd_27
1513 Grozd_113
1514 Grozd_29
1515 Grozd_107
1516 Grozd_7
1517 Grozd_82
1518 Grozd_6
1519 Grozd_98
1520 Grozd_127
1521 Grozd_36
1522 Grozd_141
1523 Grozd_83
1524 Grozd_82
1525 Grozd_26
1526 Grozd_12
1527 Grozd_18
1528 Grozd_80
1529 Grozd_70
1530 Grozd_116
1531 Grozd_64
1532 Grozd_37
1533 Grozd_61
1534 Grozd_130
1535 Grozd_64
1536 Grozd_31
1537 Grozd_90
